,Title,Company,Experience,Location,Pay,Description
2198,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
2199,Business Analyst - Healthcare or Hospitality Industry,S2 INFOTECH INTERNATIONAL LIMITED,4-5 Yrs,Mumbai(Nariman Point +1),Not disclosed,Hospitality Communication Skills requirement gathering business analysis Healthcare business analyst
2200,"Hiring Business Analyst - Software , US Healthcare",Gebbs Healthcare Solutions Pvt. Ltd.,5-10 Yrs,Navi Mumbai,Not disclosed,requirement gathering us healthcare client interfacing business analyst Requirement Analysis
2201,Business Analyst-content,Bold Technology Systems Private Limited,3-5 Yrs,Noida,Not disclosed,Gap Analysis Business Analytics business modeling strategy modeling market analysis Business Analysis
2202,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
2203,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Any Postgraduate, Post Graduation Not Required, Graduation Not Required, Any Graduate",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
2204,Business Analyst,One IT,3-8 Yrs,"Ahmedabad, Surat","3,00,000 - 6,00,000 PA.",business requirement analysis requirement gathering solution design Business Analyst web technologies business solutions business analysis technical specifications
2205,Salesforce Business Analyst,VIZDA SOFTWARE SOLUTIONS PRIVATE LIMITED,2-4 Yrs,Chennai(Aminjikarai),"4,00,000 - 7,00,000 PA.",end user requirement gathering data management workflow business analysis uat dashboards communication skills
2206,Business Analyst (non IT),Varite,5-7 Yrs,Bengaluru,Not disclosed,Computer science business intelligence reporting Data analysis SAP Business Analyst Sales operations Business analytics Analytical
2207,Business Analyst (non IT),Varite,4-6 Yrs,Bengaluru,Not disclosed,Business process VMware Data analysis SAP Business Analyst Sales operations Business analytics Reconciliation
2208,Business Analyst ,WhatsApp Inc.,8-13 Yrs,tura,Not disclosed,Procurement Computer science Automation Operational excellence Sales operations Business analytics Analytical Continuous improvement
2209,Business Analyst/ PMO,THINK ANALYTICS INDIA PRIVATE LIMITED,3-6 Yrs,Mumbai,Not disclosed,PMO Execution Project Management Requirement Gathering Product Analysis Data Analysis Project Planning Analytics
2210,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
2211,Business Analyst,Xcelpros Technologies Pvt Limited,3-6 Yrs,Bengaluru,"4,00,000 - 8,00,000 PA.",User Acceptance Testing Waterfall Requirement Gathering User Stories Agile FRD UAT Scrum
2212,Urgent Business Analyst Role I AKLAU,Rapid Value IT Services Pvt Ltd Private Limited,4-6 Yrs,Bengaluru(Sector 1 HSR Layout),Not disclosed,elicitation requirement gathering product management enterprise mobility software solutions business analysis validation rules oral communication
2213,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
2214,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
2215,Associate Product Manager / Business Analyst,milestone internet marketing pvt ltd,7-10 Yrs,"Ahmedabad, Bengaluru",Not disclosed,Computer science Hospitality Coding Javascript Workflow SEM SEO Digital marketing
2216,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
2217,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
2218,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
2219,Business Analyst,Aezion Technologies Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,System Development User Documentation Thinking Skills Quality Inspection Business Analyst Confluence Blended Learning Management Skills
2220,"Hiring Business Analyst - Software , US Healthcare",Gebbs Healthcare Solutions Pvt. Ltd.,5-10 Yrs,Navi Mumbai,Not disclosed,requirement gathering us healthcare client interfacing business analyst Requirement Analysis
2221,Business Analyst-content,Bold Technology Systems Private Limited,3-5 Yrs,Noida,Not disclosed,Gap Analysis Business Analytics business modeling strategy modeling market analysis Business Analysis
2222,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
2223,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Any Postgraduate, Post Graduation Not Required, Graduation Not Required, Any Graduate",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
2224,Business Analyst,One IT,3-8 Yrs,"Ahmedabad, Surat","3,00,000 - 6,00,000 PA.",business requirement analysis requirement gathering solution design Business Analyst web technologies business solutions business analysis technical specifications
2225,Salesforce Business Analyst,VIZDA SOFTWARE SOLUTIONS PRIVATE LIMITED,2-4 Yrs,Chennai(Aminjikarai),"4,00,000 - 7,00,000 PA.",end user requirement gathering data management workflow business analysis uat dashboards communication skills
2226,Business Analyst (non IT),Varite,5-7 Yrs,Bengaluru,Not disclosed,Computer science business intelligence reporting Data analysis SAP Business Analyst Sales operations Business analytics Analytical
2227,Business Analyst (non IT),Varite,4-6 Yrs,Bengaluru,Not disclosed,Business process VMware Data analysis SAP Business Analyst Sales operations Business analytics Reconciliation
2228,Business Analyst ,WhatsApp Inc.,8-13 Yrs,tura,Not disclosed,Procurement Computer science Automation Operational excellence Sales operations Business analytics Analytical Continuous improvement
2229,Business Analyst/ PMO,THINK ANALYTICS INDIA PRIVATE LIMITED,3-6 Yrs,Mumbai,Not disclosed,PMO Execution Project Management Requirement Gathering Product Analysis Data Analysis Project Planning Analytics
2230,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
2231,Business Analyst,Xcelpros Technologies Pvt Limited,3-6 Yrs,Bengaluru,"4,00,000 - 8,00,000 PA.",User Acceptance Testing Waterfall Requirement Gathering User Stories Agile FRD UAT Scrum
2232,Urgent Business Analyst Role I AKLAU,Rapid Value IT Services Pvt Ltd Private Limited,4-6 Yrs,Bengaluru(Sector 1 HSR Layout),Not disclosed,elicitation requirement gathering product management enterprise mobility software solutions business analysis validation rules oral communication
2233,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
2234,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
2235,Associate Product Manager / Business Analyst,milestone internet marketing pvt ltd,7-10 Yrs,"Ahmedabad, Bengaluru",Not disclosed,Computer science Hospitality Coding Javascript Workflow SEM SEO Digital marketing
2236,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
2237,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
2238,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
2239,Business Analyst,Aezion Technologies Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,System Development User Documentation Thinking Skills Quality Inspection Business Analyst Confluence Blended Learning Management Skills
2240,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
2241,Urgent Opening For Business analyst ( busineess development ),Focus Management Consultants Pvt Ltd.,0-3 Yrs,"Pune, Mumbai",Not disclosed,international sales inside sales international business development international marketing international sales executive software sales it solution sales it sales executive
2242,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Bengaluru,Not disclosed,Computer science Business process remediation Business analysis Access management Information security Network security Application security
2243,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
2244,Sr.Business Analyst,Valence Health,2-4 Yrs,Pune,Not disclosed,Statistical analysis Business Analyst Business analysis Reconciliation CMS business rules Healthcare Test cases
2245,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
2246,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Chennai,Not disclosed,Microstrategy Data analysis Change management Data management Business analysis Project management Gap analysis Visio
2247,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Post Graduation Not Required, Any Postgraduate, Graduation Not Required, Any Graduate",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
2248,BA / Senior Business Analyst,Odessa Technologies,3-8 Yrs,Bengaluru,Not disclosed,ERP Bfsi MIS Consulting Agile Healthcare Scrum microsoft
2249,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
2250,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
2251,Merilytics - Business Analyst - Data Analytics -iit/nit/bits,MERITUS INTELYTICS PRIVATE LIMITED,0-3 Yrs,Hyderabad,Not disclosed,excel analytics python data analysis business analysis problem solving sql statistics
2252,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
2253,Business Analyst,Philips India Limited,4-9 Yrs,Bengaluru,Not disclosed,Computer science Nutrition Business analysis Healthcare Support services HTML Scheduling medical records
2254,Business Analyst with Health Care Domain,ITC Infotech India Ltd,3-5 Yrs,Bengaluru,"5,00,000 - 13,00,000 PA.",User Acceptance Testing Wireframing MS Visio Waterfall Brd UML User Stories Agile
2255,Business Analyst - IAM,Capgemini Technology Services India Limited,3-6 Yrs,Bengaluru,Not disclosed,Process analysis cyber security Business Analyst Business analysis Information security Banking Risk analysis Financial services
2256,Senior Business Analyst,CGI Information Systems and Management Consultants    Private Limited,10-14 Yrs,"Bengaluru, Hyderabad",Not disclosed,Business Solutions Fund Accounting Business Modeling Finance User Stories Functional Specifications Corporate Actions Business Process Analysis
2257,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
